iter	Passed	Remaining
0	0	79
1	1	73
2	2	70
3	2	66
4	3	66
5	4	66
6	5	66
7	5	66
8	6	65
9	7	65
10	7	64
11	8	64
12	9	63
13	10	62
14	10	61
15	11	61
16	12	60
17	13	60
18	13	59
19	14	59
20	15	58
21	16	57
22	17	57
23	17	56
24	18	55
25	19	55
26	20	54
27	21	54
28	21	53
29	22	52
30	23	52
31	24	51
32	24	50
33	25	49
34	26	49
35	27	48
36	28	47
37	28	47
38	29	46
39	30	45
40	31	45
41	31	43
42	32	42
43	33	42
44	34	41
45	35	41
46	35	40
47	36	39
48	37	39
49	38	38
50	39	37
51	40	37
52	40	36
53	41	35
54	42	34
55	43	33
56	44	33
57	44	32
58	45	31
59	46	30
60	47	30
61	48	29
62	49	28
63	50	28
64	50	27
65	51	26
66	52	25
67	53	25
68	54	24
69	54	23
70	55	22
71	56	22
72	57	21
73	58	20
74	59	19
75	59	18
76	60	18
77	61	17
78	62	16
79	63	15
80	63	15
81	64	14
82	65	13
83	66	12
84	67	11
85	67	11
86	68	10
87	69	9
88	70	8
89	71	7
90	71	7
91	72	6
92	73	5
93	74	4
94	75	3
95	76	3
96	76	2
97	77	1
98	78	0
99	79	0
